ID;Főváros / megye;Település;Szavazókör;Szavazókör címe;Szélességi fok; Hosszúsági fok
156;BUDAPEST;Budapest III. ker.;64;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
157;BUDAPEST;Budapest III. ker.;65;Budapest, Semper Studio Felnőttek Gimnáziuma, Szérűskert u. 40, 1033 Hungary;47,5586273;19,0433611
158;BUDAPEST;Budapest III. ker.;66;Budapest, Gyógyszergyár u. 22-24, 1037 Hungary;47,5553318;19,028469
159;BUDAPEST;Budapest III. ker.;67;Budapest, Gyógyszergyár u. 22-24, 1037 Hungary;47,5553318;19,028469
160;BUDAPEST;Budapest III. ker.;68;Budapest, Keve u. 41, 1031 Hungary;47,574896;19,058032
161;BUDAPEST;Budapest III. ker.;69;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
162;BUDAPEST;Budapest III. ker.;70;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
163;BUDAPEST;Budapest III. ker.;71;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
164;BUDAPEST;Budapest III. ker.;72;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
165;BUDAPEST;Budapest III. ker.;73;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
166;BUDAPEST;Budapest III. ker.;74;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
167;BUDAPEST;Budapest III. ker.;75;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
168;BUDAPEST;Budapest III. ker.;76;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
169;BUDAPEST;Budapest III. ker.;77;Budapest, Arató Emil tér 1, 1031 Hungary;47,5702114;19,0554344
170;BUDAPEST;Budapest III. ker.;78;Budapest, Keve u. 41, 1031 Hungary;47,574896;19,058032
171;BUDAPEST;Budapest III. ker.;79;Budapest, Kalászi u. 5, 1031 Hungary;47,5777683;19,0559484
172;BUDAPEST;Budapest III. ker.;80;Budapest, Kalászi u. 5, 1031 Hungary;47,5777683;19,0559484
173;BUDAPEST;Budapest III. ker.;81;Budapest, Kalászi u. 5, 1031 Hungary;47,5777683;19,0559484
174;BUDAPEST;Budapest III. ker.;82;Budapest, Fodros u. 38-40, 1039 Hungary;47,5887028;19,0544702
175;BUDAPEST;Budapest III. ker.;83;Budapest, Fodros u. 38-40, 1039 Hungary;47,5887028;19,0544702
176;BUDAPEST;Budapest III. ker.;84;Budapest, Királyok útja 178, 1039 Hungary;47,590159;19,065307
177;BUDAPEST;Budapest III. ker.;85;Budapest, Királyok útja 178, 1039 Hungary;47,590159;19,065307
