választókerület;szavazókör;Fidesz-KDNP;Összefogás;Jobbik;LMP;megjelent;összes választó;Szavazókör címe
k10;sz0155;204;238;82;39;591;921;Szérûskert utca 40. (Általános Iskola)
k10;sz0156;213;178;100;59;592;939;Szérûskert utca 40. (Általános Iskola)
k10;sz0157;193;205;70;70;564;776;Szérûskert utca 40. (Általános Iskola)
k10;sz0158;255;318;87;65;773;1031;Szérûskert utca 40. (Általános Iskola)
k10;sz0159;197;227;95;50;610;869;Gyógyszergyár utca 22-24. (Általános Iskola)
k10;sz0160;175;280;88;60;639;910;Gyógyszergyár utca 22-24. (Általános Iskola)
k10;sz0161;254;263;55;54;654;795;Keve utca 41. (Általános Iskola)
k10;sz0162;241;261;68;68;669;901;Arató Emil tér 1. (Általános Iskola)
k10;sz0163;235;277;84;71;708;920;Arató Emil tér 1. (Általános Iskola)
k10;sz0164;257;289;73;97;749;979;Arató Emil tér 1. (Általános Iskola)
k10;sz0165;221;259;98;100;721;987;Arató Emil tér 1. (Általános Iskola)
k10;sz0166;249;280;65;84;702;913;Arató Emil tér 1. (Általános Iskola)
k10;sz0167;271;289;73;85;752;942;Arató Emil tér 1. (Általános Iskola)
k10;sz0168;199;281;45;70;622;786;Arató Emil tér 1. (Általános Iskola)
k10;sz0169;278;288;65;92;763;1004;Arató Emil tér 1. (Általános Iskola)
k10;sz0170;269;297;72;80;744;928;Arató Emil tér 1. (Általános Iskola)
k10;sz0171;290;187;50;69;622;801;Keve utca 41. (Általános Iskola)
k10;sz0172;312;257;57;101;756;960;Kalászi utca 5-7. (Képzõmûvészeti Szakképzõ Isk.)
k10;sz0173;286;219;63;65;656;883;Kalászi utca 5-7. (Képzõmûvészeti Szakképzõ Isk.)
k10;sz0174;284;222;62;90;691;895;Kalászi utca 5-7. (Képzõmûvészeti Szakképzõ Isk.)
k10;sz0175;320;299;91;96;836;1069;Fodros utca 38-40. (Általános Iskola)
k10;sz0176;303;259;81;88;771;1003;Fodros utca 38-40. (Általános Iskola)
k10;sz0177;288;230;78;61;677;909;Királyok útja 178/E. (Általános Iskola)
k10;sz0178;176;264;94;48;607;892;Királyok útja 178/E. (Általános Iskola)
k10;sz0179;202;195;110;25;563;917;Medgyessy Ferenc utca 2-4. (Általános Iskola)
k10;sz0180;186;239;74;54;575;845;Medgyessy Ferenc utca 2-4. (Általános Iskola)
k10;sz0181;198;273;118;49;676;951;Medgyessy Ferenc utca 2-4. (Általános Iskola)
k10;sz0182;229;205;106;37;617;923;Medgyessy Ferenc utca 2-4. (Általános Iskola)
k10;sz0183;216;172;115;36;567;918;Medgyessy Ferenc utca 2-4. (Általános Iskola)
k10;sz0184;197;212;75;33;547;827;Zipernowsky Károly utca 1-3. (Általános Iskola)
k10;sz0185;239;239;121;44;685;1028;Zipernowsky Károly utca 1-3. (Általános Iskola)
k10;sz0186;240;231;111;44;652;939;Zipernowsky Károly utca 1-3. (Általános Iskola)
k10;sz0187;208;150;80;48;519;813;Zipernowsky Károly utca 1-3. (Általános Iskola)
k10;sz0188;160;211;77;40;511;816;Zipernowsky Károly utca 4. (Szakiskola)
k10;sz0189;257;235;115;42;675;1040;Zipernowsky Károly utca 4. (Szakiskola)
k10;sz0190;208;245;115;51;664;1012;Zipernowsky Károly utca 4. (Szakiskola)
k10;sz0191;143;161;94;40;458;767;Zipernowsky Károly utca 4. (Szakiskola)
k10;sz0192;247;222;93;43;626;1028;Zipernowsky Károly utca 4. (Szakiskola)
k10;sz0193;184;170;101;45;534;988;Zipernowsky Károly utca 4. (Szakiskola)
k10;sz0194;183;197;105;26;536;969;Bárczi Géza utca 2. (Általános Iskola)
k10;sz0195;197;208;104;45;581;924;Bárczi Géza utca 2. (Általános Iskola)
k10;sz0196;215;231;106;39;617;907;Bárczi Géza utca 2. (Általános Iskola)
k10;sz0197;227;163;84;39;546;864;Bárczi Géza utca 2. (Általános Iskola)
k10;sz0198;186;199;90;35;540;834;Bárczi Géza utca 2. (Általános Iskola)
k10;sz0199;198;264;85;44;626;907;Bárczi Géza utca 2. (Általános Iskola)
k10;sz0200;202;235;90;46;606;865;Pais Dezsõ utca 1-3. (Általános Iskola)
k10;sz0201;200;238;86;58;612;903;Pais Dezsõ utca 1-3. (Általános Iskola)
k10;sz0202;211;175;114;53;593;855;Pais Dezsõ utca 1-3. (Általános Iskola)
k10;sz0203;184;228;68;55;565;886;Pais Dezsõ utca 1-3. (Általános Iskola)
k10;sz0204;189;225;92;29;559;847;Pais Dezsõ utca 1-3. (Általános Iskola)
k10;sz0205;184;206;95;33;547;881;Pais Dezsõ utca 1-3. (Általános Iskola)
k11;sz0206;197;298;67;49;635;891;Megyeri út 20. (Megyeri Általános Isk.)
k11;sz0207;253;345;88;82;803;1050;Homoktövis utca 100. (Homoktövis Általános Isk.)
k11;sz0208;222;292;112;78;735;1065;Homoktövis utca 100. (Homoktövis Általános Isk.)
k11;sz0209;319;288;52;111;795;1022;Homoktövis utca 100. (Homoktövis Általános Isk.)
k11;sz0210;191;276;105;61;655;939;Homoktövis utca 100. (Homoktövis Általános Isk.)
k11;sz0211;204;230;106;56;635;1017;Homoktövis utca 100. (Homoktövis Általános Isk.)
k11;sz0212;220;337;101;57;742;1037;Homoktövis utca 100. (Homoktövis Általános Isk.)
k11;sz0213;173;313;96;71;686;951;Bõrfestõ utca 5-9. (Csokonai Gimn.és Ált. Isk.)
k11;sz0214;191;337;109;67;747;1089;Bõrfestõ utca 5-9. (Csokonai Gimn.és Ált. Isk.)
k11;sz0215;213;240;107;53;647;1007;Bõrfestõ utca 5-9. (Csokonai Gimn.és Ált. Isk.)
k11;sz0216;221;293;112;46;701;1077;Tóth Aladár utca 16-18. (Babits Gimnázium)
k11;sz0217;214;361;87;63;753;1018;Tóth Aladár utca 16-18. (Babits Gimnázium)
k11;sz0218;182;313;91;57;669;978;Bõrfestõ utca 5-9. (Csokonai Gimn.és Ált. Isk.)
k11;sz0219;204;302;64;63;672;883;Megyeri út 20. (Megyeri Általános Isk.)
k11;sz0220;313;244;69;40;691;900;Megyeri út 20. (Megyeri Általános Isk.)
k11;sz0221;283;206;70;36;624;814;Megyeri út 20. (Megyeri Általános Isk.)
k11;sz0222;232;254;61;46;616;866;Megyeri út 20. (Megyeri Általános Isk.)
k11;sz0223;207;268;86;40;627;884;Fóti út 66. (Angol Nyelvi. Általános Isk.)
k11;sz0224;278;304;95;68;763;1034;Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK)
k11;sz0225;213;233;73;41;589;898;Tóth Aladár utca 16-18. (Babits Gimnázium)
k11;sz0226;195;260;75;47;605;873;Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK)
k11;sz0227;184;218;95;54;588;919;Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK)
k11;sz0228;170;233;88;33;555;845;Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK)
k11;sz0229;176;175;115;47;589;900;Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK)
k11;sz0230;210;252;84;32;605;936;Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK)
k11;sz0231;168;163;97;26;482;848;Megyeri út 20. (Megyeri Általános Isk.)
k11;sz0232;236;257;75;34;626;926;Megyeri út 20. (Megyeri Általános Isk.)
k11;sz0233;263;260;70;34;659;943;Fóti út 66. (Angol Nyelvi. Általános Isk.)
k11;sz0234;251;329;81;65;755;975;Fóti út 66. (Angol Nyelvi. Általános Isk.)
k11;sz0235;235;227;68;46;617;882;Fóti út 66. (Angol Nyelvi. Általános Isk.)
k11;sz0236;238;305;72;63;710;924;Fóti út 66. (Angol Nyelvi. Általános Isk.)
k11;sz0237;172;165;72;43;474;854;Megyeri út 20. (Megyeri Általános Isk.)
k11;sz0238;200;285;47;64;622;816;Fóti út 66. (Angol Nyelvi. Általános Isk.)
k11;sz0239;241;307;87;61;718;965;Fóti út 66. (Angol Nyelvi. Általános Isk.)
k11;sz0240;221;175;60;23;505;894;Langlet Waldemár utca 3-5. (Bródy Gimnázium)
k11;sz0241;204;169;77;34;511;851;Langlet Waldemár utca 3-5. (Bródy Gimnázium)
k11;sz0242;292;226;69;34;648;881;Bajza József utca 2. (Bajza Általános Isk.)
k11;sz0243;299;208;90;53;677;1022;Bajza József utca 2. (Bajza Általános Isk.)
k11;sz0244;223;197;58;37;533;738;Bajza József utca 2. (Bajza Általános Isk.)
k11;sz0245;309;242;73;50;693;939;Bajza József utca 2. (Bajza Általános Isk.)
k11;sz0246;178;104;49;21;381;839;Langlet Waldemár utca 3-5. (Bródy Gimnázium)
k11;sz0247;181;142;72;49;478;895;Langlet Waldemár utca 3-5. (Bródy Gimnázium)
k11;sz0248;221;167;93;38;559;940;Bajza József utca 2. (Bajza Általános Isk.)
k11;sz0249;170;174;77;40;489;859;Langlet Waldemár utca 3-5. (Bródy Gimnázium)
k11;sz0250;205;151;72;44;511;899;Lõrinc utca 35-37. (Újpesti Bölcsõdék Központja)
k11;sz0251;235;223;75;34;599;920;Lõrinc utca 35-37. (Újpesti Bölcsõdék Központja)
k11;sz0252;216;227;73;38;580;898;Erzsébet utca 69. (Károlyi Gimn. és Ált. Isk.)
k11;sz0253;697;601;225;142;1738;2153;Erzsébet utca 69. (Károlyi Gimn. és Ált. Isk.)
k11;sz0254;215;218;49;49;545;777;Lõrinc utca 35-37. (Újpesti Bölcsõdék Központja)
k11;sz0255;180;268;72;49;595;964;Lõrinc utca 35-37. (Újpesti Bölcsõdék Központja)
k11;sz0256;213;229;91;39;609;980;Erzsébet utca 69. (Károlyi Gimn. és Ált. Isk.)
k11;sz0257;197;279;97;44;654;951;Erzsébet utca 69. (Károlyi Gimn. és Ált. Isk.)
k11;sz0258;211;228;52;57;576;842;Lõrinc utca 35-37. (Újpesti Bölcsõdék Központja)
k11;sz0259;199;183;60;32;505;825;Munkásotthon utca 3. (Bene Ferenc Általános Isk.)
k11;sz0260;200;223;66;36;557;941;Langlet Waldemár utca 3-5. (Bródy Gimnázium)
k11;sz0261;234;279;70;31;653;956;Munkásotthon utca 3. (Bene Ferenc Általános Isk.)
k11;sz0262;236;204;72;56;595;953;Tanoda tér 6. (Katolikus Általános Isk.)
k11;sz0263;222;312;66;47;672;939;Erzsébet utca  31. (Lázár Ervin Általános Isk.)
k11;sz0264;228;278;76;54;669;1021;Erzsébet utca  31. (Lázár Ervin Általános Isk.)
k11;sz0265;214;206;70;28;535;924;Erzsébet utca  31. (Lázár Ervin Általános Isk.)
k11;sz0266;200;241;73;31;577;917;Erzsébet utca  31. (Lázár Ervin Általános Isk.)
k11;sz0267;191;181;72;29;493;901;Munkásotthon utca 3. (Bene Ferenc Általános Isk.)
k11;sz0268;234;234;78;36;601;911;Pozsonyi út 3. (Hallasy Olivér Általános Isk.)
k11;sz0269;224;208;82;27;583;932;Tanoda tér 6. (Katolikus Általános Isk.)
k11;sz0270;197;243;65;38;569;852;Tanoda tér 6. (Katolikus Általános Isk.)
k11;sz0271;210;209;75;38;555;965;Erzsébet utca  31. (Lázár Ervin Általános Isk.)
